자격증,카테고리,문제제시문,서브제시문,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설,난이도,태그,기출회차,기출번호,출제빈도,이미지URL
정보처리기사,1-2-3,다음 중 관계형 데이터베이스의 특징이 아닌 것은?,"",데이터 중복 최소화,ACID 속성 보장,정규화 지원,계층형 구조,트랜잭션 처리,D,관계형 데이터베이스는 계층형 구조가 아닌 테이블 기반 구조를 사용합니다.,중,"데이터베이스,기초",2024-01,01,5,
정보처리기사,1-2-3,정규화의 목적은 무엇인가?,"",데이터 중복 제거,쿼리 성능 향상,데이터 보안 강화,데이터 백업 용이,데이터 압축,,"정규화는 데이터 중복을 제거하고 데이터 무결성을 보장하기 위한 데이터베이스 설계 기법입니다.",중,"데이터베이스,정규화",2024-01,02,3,
컴퓨터활용능력,2-1-1,다음 중 Excel 함수의 결과가 올바른 것은?,"=SUM(A1:A5)의 결과",15,SUM(A1:A5),#VALUE!,오류,15,A,SUM 함수는 지정된 범위의 숫자 합계를 계산합니다.,하,"엑셀,함수",2024-03,01,8,
경영정보시각화능력,4-2-1,데이터 시각화의 주요 목적은?,"",데이터 저장,데이터 분석,데이터 전달,데이터 삭제,데이터 암호화,C,데이터 시각화는 복잡한 데이터를 시각적으로 표현하여 정보를 효과적으로 전달하는 것이 목적입니다.,중,"시각화,기초",2024-02,05,4,






